House_ID,Area_sqft,Bedrooms,Bathrooms,Floors,House_Age,Garage,Parking,Location,Furnished,Garden,Condition,Distance_to_City_km,Price
H00837,1431,3,1,3,8,0,0,Suburban,No,Yes,Needs Renovation,8.2,371628
H00838,3385,4,1,1,39,2,2,Urban,No,Yes,Needs Renovation,7.7,762963
H00839,2195,2,5,1,16,3,0,Urban,Yes,Yes,Average,17.3,632773
H00840,2502,3,4,2,0,3,2,Suburban,No,Yes,Average,22.8,649714
H00841,1618,2,3,1,6,0,3,Suburban,No,Yes,Needs Renovation,28.8,379672
H00842,1030,2,2,2,12,3,0,Urban,No,No,Average,12.4,366486
H00843,3532,1,5,1,0,1,2,Urban,No,No,Average,7.9,863091
H00844,3214,5,1,3,27,2,3,Rural,Yes,Yes,Good,28.5,683964
H00845,1569,4,4,2,13,2,3,Urban,Yes,No,Average,26.6,524490
H00846,2342,5,2,1,36,1,2,Rural,Yes,Yes,Excellent,16.4,557423
H00847,1852,1,5,2,38,0,4,Suburban,No,No,Good,17.7,437157
H00848,1095,6,4,1,28,2,4,Urban,Yes,No,Good,12.4,486154
H00849,4377,1,2,1,28,2,1,Urban,No,Yes,Good,11.0,987021
H00850,1092,1,3,3,21,2,2,Urban,Yes,Yes,Average,11.8,401191
H00851,3314,5,5,3,18,3,3,Urban,Yes,No,Average,11.3,874973
H00852,4175,5,4,1,0,0,0,Rural,No,No,Needs Renovation,14.2,850128
H00853,2170,1,2,2,9,2,0,Rural,No,Yes,Excellent,19.4,480204
H00854,928,1,1,3,13,2,1,Urban,No,No,Excellent,9.6,384248
H00855,3438,5,5,2,1,2,3,Rural,No,No,Good,24.2,784316
H00856,2690,5,5,3,19,3,0,Urban,Yes,No,Average,12.1,763816
H00857,4375,4,4,1,35,1,3,Suburban,Yes,Yes,Good,29.4,976551
H00858,4121,6,3,2,31,0,0,Suburban,No,Yes,Needs Renovation,21.9,860906
H00859,3578,6,2,1,26,0,0,Rural,No,No,Needs Renovation,17.6,710294
H00860,3580,1,5,1,29,0,2,Suburban,No,Yes,Average,9.7,775999
H00861,1529,6,4,1,11,3,1,Urban,No,Yes,Needs Renovation,2.0,530521
H00862,1466,1,2,3,9,0,4,Rural,Yes,No,Needs Renovation,12.4,335096
H00863,1826,5,3,2,31,3,4,Urban,Yes,Yes,Good,7.7,612929
H00864,2473,4,1,3,1,0,0,Urban,Yes,Yes,Excellent,11.6,723319
H00865,3979,2,2,1,2,2,3,Rural,Yes,No,Average,20.8,825730
H00866,2952,4,4,2,38,3,0,Suburban,No,Yes,Average,16.1,700984
H00867,3130,1,1,1,7,2,2,Suburban,No,Yes,Good,19.9,698105
H00868,932,1,4,1,26,2,4,Suburban,No,No,Needs Renovation,7.9,285668
H00869,1251,5,2,1,31,1,0,Rural,No,Yes,Excellent,20.6,340170
H00870,2058,3,1,1,1,3,1,Urban,No,No,Good,25.4,574204
H00871,2465,3,4,2,31,3,3,Suburban,No,Yes,Excellent,22.2,638461
H00872,2424,2,1,3,24,2,1,Urban,No,No,Good,6.9,620908
H00873,2128,1,3,3,37,1,1,Rural,Yes,Yes,Excellent,27.0,489826
H00874,4463,3,3,1,38,3,2,Rural,Yes,Yes,Average,13.2,904956
H00875,3042,1,4,3,11,3,2,Rural,No,Yes,Average,1.7,681771
H00876,1499,1,3,3,22,1,3,Rural,Yes,No,Average,3.3,377683
H00877,2737,6,1,2,36,0,1,Suburban,No,Yes,Average,24.6,633845
H00878,4645,6,4,3,38,2,1,Urban,Yes,Yes,Needs Renovation,8.8,1073849
H00879,1033,4,5,1,32,1,2,Suburban,Yes,No,Average,23.8,348592
H00880,4115,5,3,3,5,3,2,Urban,No,No,Excellent,7.6,1052442
H00881,3716,3,5,1,37,3,3,Rural,Yes,Yes,Good,21.7,821953
H00882,1982,6,1,3,13,2,0,Urban,No,No,Good,16.2,591957
H00883,4486,6,5,3,31,0,3,Rural,No,Yes,Excellent,21.1,961207
H00884,4864,5,1,1,34,3,1,Urban,No,Yes,Average,22.6,1056011
H00885,1472,4,2,3,31,0,2,Suburban,Yes,No,Excellent,28.4,436043
H00886,3368,5,1,1,17,0,1,Suburban,No,Yes,Good,17.0,777938
H00887,2003,6,5,3,22,2,2,Suburban,No,No,Excellent,12.1,614192
H00888,700,2,1,1,36,2,4,Suburban,No,No,Needs Renovation,4.3,205716
H00889,3155,6,2,2,7,2,0,Urban,Yes,No,Good,23.5,823319
H00890,3387,3,4,3,36,0,2,Suburban,Yes,Yes,Excellent,26.2,787578
H00891,3690,3,3,2,8,3,0,Suburban,No,Yes,Good,22.6,853493
H00892,2997,3,4,1,12,0,3,Urban,No,No,Excellent,3.9,823691
H00893,1336,5,2,2,1,3,1,Suburban,Yes,No,Needs Renovation,4.4,420970
H00894,614,1,3,1,31,2,2,Urban,Yes,No,Good,12.3,314162
H00895,3063,6,1,2,30,2,1,Suburban,No,Yes,Average,21.4,694840
H00896,2568,2,2,3,13,3,1,Rural,Yes,Yes,Needs Renovation,12.5,537196
H00897,1908,3,2,3,20,2,0,Urban,Yes,Yes,Good,3.5,610970
H00898,2595,4,2,2,32,0,2,Suburban,Yes,Yes,Excellent,15.8,657680
H00899,3123,3,3,1,33,1,3,Rural,Yes,No,Excellent,25.6,657084
H00900,3256,1,1,1,13,3,1,Urban,Yes,No,Good,7.1,817623
H00901,1334,2,5,1,21,0,0,Rural,No,Yes,Average,7.3,321027
H00902,699,5,1,1,17,0,4,Rural,Yes,No,Average,6.3,260358
H00903,4527,1,4,3,13,2,0,Suburban,No,Yes,Good,19.1,970257
H00904,4864,2,1,1,19,2,4,Urban,No,No,Needs Renovation,19.4,1004236
H00905,1706,4,4,1,35,1,3,Rural,Yes,No,Good,11.4,438719
H00906,750,1,4,2,9,0,1,Urban,No,No,Average,29.1,307266
H00907,3810,5,4,1,24,3,2,Urban,No,No,Average,2.8,923705
H00908,3031,6,3,3,36,2,4,Suburban,No,Yes,Good,5.6,744707
H00909,998,6,5,3,16,3,1,Suburban,Yes,No,Good,3.8,431654
H00910,1938,2,5,2,29,2,0,Rural,Yes,Yes,Good,18.5,461957
H00911,2793,2,5,2,14,1,2,Urban,Yes,No,Average,5.6,745870
H00912,3673,5,4,1,3,3,4,Suburban,Yes,No,Needs Renovation,1.1,905755
H00913,1774,3,1,2,35,0,2,Suburban,Yes,Yes,Excellent,12.8,482652
H00914,2235,1,4,2,12,2,3,Urban,No,Yes,Excellent,29.2,641738
H00915,1479,2,5,2,35,3,1,Rural,Yes,No,Needs Renovation,28.0,296732
H00916,3717,5,1,2,1,0,4,Suburban,Yes,No,Good,4.4,906784
H00917,3928,5,4,2,39,3,3,Rural,Yes,Yes,Average,12.6,850246
H00918,2150,2,4,1,13,0,3,Urban,Yes,No,Good,24.8,613514
H00919,4358,5,3,2,13,3,2,Urban,Yes,Yes,Good,28.1,1059309
H00920,4807,3,1,3,21,1,2,Urban,Yes,Yes,Excellent,19.9,1105808
H00921,3556,1,3,3,27,2,2,Rural,No,No,Good,6.8,724093
H00922,4513,5,5,2,34,3,4,Urban,No,Yes,Needs Renovation,16.2,1045923
H00923,3551,5,1,2,15,3,3,Suburban,Yes,No,Needs Renovation,14.9,784586
H00924,4892,6,2,3,11,0,1,Urban,Yes,Yes,Excellent,11.0,1185309
H00925,1623,1,3,2,39,2,2,Rural,No,No,Good,27.5,318316
H00926,826,1,3,3,4,0,4,Urban,No,No,Needs Renovation,2.4,329468
H00927,840,6,1,2,14,3,3,Urban,No,No,Needs Renovation,3.4,386403
H00928,4311,2,4,1,6,3,0,Suburban,Yes,Yes,Needs Renovation,13.2,950580
H00929,2361,1,1,2,35,2,4,Rural,No,No,Good,10.4,463478
H00930,2550,3,4,2,23,0,4,Suburban,Yes,Yes,Needs Renovation,16.6,618194
H00931,1034,3,2,1,23,1,2,Suburban,Yes,No,Average,16.8,337979
H00932,3666,6,1,2,28,3,1,Urban,Yes,No,Average,7.0,911769
H00933,3143,1,3,3,23,0,1,Urban,Yes,No,Average,9.2,768618
H00934,2968,3,1,2,21,2,2,Rural,No,No,Needs Renovation,19.9,560482
H00935,3998,1,3,1,12,2,1,Suburban,Yes,Yes,Excellent,13.4,928499
H00936,1685,4,4,3,10,2,0,Suburban,Yes,Yes,Average,28.3,508281
H00937,1381,2,5,2,18,1,2,Urban,Yes,Yes,Needs Renovation,9.7,479758
H00938,2485,3,1,3,19,1,1,Suburban,No,No,Average,29.5,521782
H00939,1281,3,4,2,38,0,4,Suburban,No,Yes,Needs Renovation,19.1,351931
H00940,3666,5,5,3,4,0,1,Rural,No,Yes,Needs Renovation,19.7,770791
H00941,1103,4,1,1,28,2,4,Suburban,No,No,Average,25.0,298391
H00942,1831,6,1,3,34,0,1,Suburban,Yes,No,Needs Renovation,11.3,469090
H00943,1869,2,2,2,11,0,0,Urban,No,No,Excellent,18.8,539291
H00944,1784,3,1,2,4,0,4,Suburban,No,No,Average,2.3,491369
H00945,4098,6,4,3,27,0,1,Suburban,Yes,Yes,Good,14.0,960960
H00946,3257,6,2,2,29,2,1,Suburban,No,No,Average,8.8,742034
H00947,2155,4,1,1,3,0,2,Suburban,No,No,Good,3.9,573603
H00948,4445,6,4,1,28,1,1,Rural,Yes,Yes,Needs Renovation,24.2,891022
H00949,2164,3,4,2,37,2,2,Suburban,Yes,Yes,Good,19.9,576439
H00950,4822,5,4,1,23,2,2,Suburban,Yes,No,Needs Renovation,26.9,1009069
H00951,1671,1,1,2,18,0,1,Rural,No,No,Average,1.3,360683
H00952,1800,1,4,3,25,2,1,Suburban,Yes,Yes,Good,27.3,478905
H00953,1973,6,3,1,5,3,1,Urban,No,No,Average,12.9,623253
H00954,3693,5,2,2,31,0,0,Urban,Yes,No,Good,14.9,907789
H00955,2704,1,1,2,40,3,0,Urban,Yes,No,Excellent,12.7,709059
H00956,3270,4,3,1,38,1,4,Urban,Yes,Yes,Good,3.5,868772
H00957,643,2,1,3,20,3,0,Suburban,Yes,Yes,Average,9.9,261114
H00958,2142,2,5,3,19,0,3,Suburban,Yes,Yes,Average,12.9,572484
H00959,765,6,5,2,12,2,4,Rural,No,No,Good,3.8,326048
H00960,1987,6,2,1,18,0,3,Urban,Yes,No,Good,14.9,605319
H00961,3672,4,5,1,36,0,0,Suburban,No,No,Excellent,10.2,858833
H00962,1605,2,4,2,32,1,0,Urban,Yes,No,Good,6.1,540204
H00963,980,6,5,3,39,1,3,Suburban,No,Yes,Excellent,25.5,384673
H00964,4011,2,1,2,23,1,0,Urban,Yes,No,Good,13.2,937280
H00965,3328,2,4,3,19,1,3,Rural,No,Yes,Excellent,8.6,745882
H00966,1069,2,2,1,25,0,0,Urban,Yes,Yes,Average,16.6,392998
H00967,652,2,5,3,9,1,3,Rural,Yes,No,Excellent,20.5,263252
H00968,3033,5,5,2,37,1,2,Suburban,Yes,Yes,Excellent,5.4,785314
H00969,1032,2,2,2,21,2,2,Suburban,Yes,No,Average,23.5,316518
H00970,4397,2,2,2,23,2,3,Suburban,No,Yes,Good,13.1,933737
H00971,4775,5,3,1,22,1,3,Rural,No,Yes,Average,22.2,979419
H00972,4709,1,2,2,24,2,0,Suburban,No,No,Good,27.4,924671
H00973,1896,1,1,2,19,1,4,Rural,Yes,Yes,Excellent,10.9,486795
H00974,1764,4,3,2,1,2,1,Urban,Yes,Yes,Good,21.8,602856
H00975,4996,1,4,1,32,2,0,Rural,Yes,No,Needs Renovation,10.4,933659
H00976,1305,5,1,3,16,0,4,Rural,Yes,Yes,Needs Renovation,10.2,349678
H00977,3483,6,5,2,38,1,1,Rural,No,No,Average,19.3,741135
H00978,2722,6,4,1,9,0,1,Urban,Yes,No,Excellent,11.2,812837
H00979,3442,5,3,2,0,2,1,Rural,No,Yes,Excellent,24.5,772811
H00980,2514,5,3,3,9,0,0,Suburban,No,No,Excellent,9.2,659950
H00981,4488,3,3,3,13,2,1,Urban,Yes,No,Excellent,22.2,1061618
H00982,2275,1,5,1,26,3,3,Suburban,Yes,Yes,Excellent,14.2,638618
H00983,3926,5,2,1,26,1,0,Urban,No,No,Needs Renovation,12.9,877128
H00984,2699,3,4,2,36,0,1,Urban,Yes,No,Excellent,10.3,724941
H00985,4800,6,4,1,10,3,2,Urban,Yes,No,Needs Renovation,29.1,1104516
H00986,1414,6,5,2,21,3,0,Rural,Yes,No,Needs Renovation,3.3,396543
H00987,2310,5,3,3,32,1,2,Suburban,No,No,Excellent,3.1,607966
H00988,3429,4,3,2,1,3,2,Rural,No,No,Needs Renovation,19.0,696944
H00989,1357,2,4,2,23,2,4,Rural,Yes,Yes,Excellent,2.2,430926
H00990,2781,5,2,2,8,0,2,Urban,No,No,Good,23.3,704030
H00991,2903,6,1,2,37,0,2,Rural,Yes,No,Good,5.7,650440
H00992,2566,3,1,2,2,3,0,Suburban,No,No,Excellent,1.2,670152
H00993,4858,3,2,2,35,1,0,Rural,Yes,Yes,Average,13.4,968016
H00994,2160,5,3,2,12,1,3,Rural,No,Yes,Excellent,2.1,589440
H00995,706,5,2,3,23,0,0,Urban,Yes,Yes,Excellent,18.4,398581
H00996,1074,6,3,1,1,0,3,Rural,Yes,Yes,Average,2.3,375555
H00997,3963,2,1,1,8,3,0,Rural,No,No,Good,27.0,788156
H00998,2035,4,1,3,13,2,2,Rural,No,No,Good,8.4,471089
H00999,605,1,2,2,17,0,0,Suburban,No,Yes,Average,14.1,206372
H01000,3362,4,4,2,26,0,2,Rural,No,No,Average,29.4,678633
H01001,2490,4,5,1,37,3,0,Rural,No,No,Needs Renovation,23.0,481597
H01002,3719,5,2,1,40,3,1,Rural,No,No,Good,5.7,767746
H01003,3926,1,1,3,32,2,3,Rural,Yes,Yes,Excellent,14.4,823949
H01004,1472,5,1,2,11,1,2,Rural,Yes,Yes,Good,24.7,383917
H01005,3249,4,3,1,7,1,0,Suburban,Yes,Yes,Average,18.5,760415
H01006,2133,3,4,3,36,1,0,Rural,No,No,Needs Renovation,2.8,429601
H01007,3850,6,3,1,1,2,1,Urban,No,Yes,Good,18.0,986601
H01008,4350,1,2,3,1,2,1,Suburban,No,Yes,Average,25.1,896432
H01009,1791,5,1,2,6,2,3,Suburban,No,No,Average,6.6,503384
H01010,4292,3,4,3,1,1,2,Rural,No,Yes,Excellent,22.6,936713
H01011,4660,2,2,1,33,0,0,Urban,Yes,No,Average,18.8,1018154
H01012,3861,5,4,1,32,1,0,Urban,Yes,Yes,Good,5.3,965442
H01013,776,2,3,2,37,2,4,Rural,Yes,No,Average,1.7,260944
H01014,1498,1,3,1,29,3,4,Rural,Yes,Yes,Good,21.2,392831
H01015,3277,2,2,1,23,3,2,Urban,Yes,Yes,Excellent,22.4,838230
H01016,3772,6,3,3,22,2,3,Rural,No,No,Needs Renovation,15.6,768026
H01017,4631,6,2,3,27,2,2,Urban,Yes,No,Needs Renovation,14.5,1034363
H01018,841,4,5,1,7,3,4,Suburban,Yes,No,Excellent,21.9,398716
H01019,4740,4,3,3,36,1,0,Urban,No,No,Needs Renovation,29.5,966367
H01020,2274,5,5,2,0,0,1,Rural,No,Yes,Excellent,28.7,565010
H01021,1250,3,1,1,24,0,0,Suburban,Yes,Yes,Excellent,11.7,414131
H01022,4618,3,3,3,24,1,1,Rural,Yes,No,Needs Renovation,7.0,917233
H01023,3203,1,2,1,34,3,1,Suburban,Yes,No,Average,16.2,690027
H01024,3058,6,1,3,4,3,3,Rural,No,Yes,Excellent,13.5,755037
H01025,4478,1,2,2,33,2,0,Suburban,No,Yes,Average,22.0,900791
H01026,1317,6,3,2,14,1,2,Suburban,Yes,Yes,Needs Renovation,22.9,427887
H01027,4500,4,2,3,16,2,4,Rural,No,No,Needs Renovation,19.4,853130
H01028,3856,2,5,3,6,0,0,Rural,Yes,Yes,Needs Renovation,10.5,780586
H01029,4308,6,3,3,38,3,2,Urban,Yes,Yes,Excellent,18.8,1080126
H01030,4145,5,3,2,1,1,2,Suburban,Yes,No,Good,17.6,972721
H01031,4777,1,3,1,22,2,2,Urban,No,No,Excellent,15.9,1069085
H01032,2252,3,1,3,37,2,4,Rural,Yes,No,Average,13.6,474821
H01033,3734,2,4,2,8,2,0,Urban,Yes,Yes,Needs Renovation,8.6,916724
H01034,757,4,2,1,18,1,4,Urban,No,Yes,Excellent,11.1,393882
H01035,909,6,2,1,30,1,1,Urban,Yes,Yes,Good,21.1,416072
H01036,1135,1,2,1,6,3,1,Suburban,Yes,No,Good,4.3,410902
H01037,3043,6,3,3,9,1,3,Suburban,Yes,No,Average,4.2,780955
H01038,2296,1,3,1,18,1,2,Urban,No,Yes,Good,12.5,642687
H01039,4426,2,2,1,16,1,1,Urban,Yes,Yes,Average,15.7,1024062
H01040,948,5,1,3,18,2,4,Suburban,Yes,Yes,Excellent,5.7,435287
H01041,1599,4,4,2,34,2,0,Rural,Yes,Yes,Excellent,17.8,457043
H01042,4831,3,2,3,35,1,2,Suburban,No,Yes,Excellent,5.0,1036296
H01043,4108,3,2,2,37,2,3,Urban,No,Yes,Good,18.3,957650
H01044,3529,1,5,2,6,1,0,Suburban,No,Yes,Needs Renovation,21.1,732081
H01045,1287,6,4,1,23,0,4,Rural,Yes,Yes,Excellent,16.8,408474
H01046,4405,3,3,1,37,3,3,Suburban,Yes,Yes,Average,16.6,970050
H01047,1398,5,4,1,35,2,0,Suburban,Yes,No,Average,8.1,456668
H01048,3134,3,2,2,4,1,2,Rural,No,No,Needs Renovation,9.7,636058
H01049,3389,4,2,1,11,3,0,Urban,Yes,Yes,Average,19.9,851307
H01050,3060,4,1,3,4,3,4,Suburban,No,No,Good,3.4,752054
H01051,2476,6,2,2,1,3,4,Rural,No,No,Average,28.6,564971
H01052,4201,2,4,2,24,0,1,Suburban,No,No,Excellent,21.8,892874
H01053,4699,1,5,3,19,2,0,Urban,Yes,Yes,Excellent,11.7,1125604
H01054,4411,5,2,3,34,1,1,Urban,No,No,Good,5.8,1037027
H01055,3837,4,4,2,30,3,0,Suburban,Yes,Yes,Excellent,15.9,935727
H01056,2168,5,1,2,34,3,2,Urban,No,No,Excellent,24.6,625605
H01057,3312,2,5,3,23,3,1,Rural,Yes,Yes,Good,25.6,706916
H01058,648,6,2,1,31,1,4,Rural,Yes,No,Needs Renovation,18.2,190892
H01059,3398,6,3,1,3,3,3,Suburban,Yes,No,Good,11.5,850946
H01060,1012,3,4,1,36,3,3,Urban,Yes,Yes,Needs Renovation,22.2,384409
H01061,2424,3,5,1,1,2,1,Suburban,No,No,Average,4.0,650786
H01062,1759,4,3,3,10,2,2,Rural,No,Yes,Excellent,25.0,461315
H01063,4116,2,4,1,10,0,2,Urban,Yes,Yes,Average,17.0,971132
H01064,2831,5,3,2,14,0,3,Suburban,Yes,No,Excellent,20.8,732383
H01065,2325,5,1,2,4,3,3,Urban,Yes,No,Needs Renovation,22.7,626531
H01066,3970,3,5,2,6,3,1,Suburban,Yes,Yes,Excellent,8.5,996245
H01067,1253,3,5,2,12,1,1,Rural,Yes,Yes,Average,14.8,356885
H01068,2504,2,2,3,11,2,4,Urban,No,No,Needs Renovation,24.1,585533
H01069,2653,1,2,1,38,1,1,Urban,Yes,Yes,Needs Renovation,11.6,643949
H01070,2641,3,2,2,21,3,1,Urban,No,No,Needs Renovation,19.7,625187
H01071,3925,4,2,2,34,2,3,Suburban,Yes,No,Good,11.9,891072
H01072,3748,6,3,3,9,0,4,Rural,Yes,Yes,Excellent,20.8,872215
H01073,1746,3,4,3,23,2,2,Rural,No,No,Good,1.4,434766
H01074,3255,4,1,3,30,0,0,Urban,No,Yes,Needs Renovation,11.1,730809
H01075,3988,3,5,1,19,1,0,Rural,Yes,No,Excellent,14.6,888968
H01076,928,5,2,1,25,0,1,Rural,Yes,No,Excellent,8.2,328705
H01077,4780,2,3,2,2,2,2,Suburban,Yes,Yes,Excellent,10.4,1115803
H01078,1983,6,5,3,10,1,4,Rural,Yes,Yes,Needs Renovation,26.1,497325
H01079,1219,1,2,1,34,1,1,Suburban,Yes,No,Average,20.5,329058
H01080,4847,4,4,2,40,3,1,Rural,Yes,Yes,Needs Renovation,2.1,987721
H01081,3307,1,3,1,39,1,4,Rural,Yes,No,Average,25.4,626382
H01082,3474,6,5,1,12,0,4,Rural,No,No,Good,7.2,814135
H01083,3864,1,2,2,38,0,1,Rural,No,Yes,Average,3.7,726973
H01084,3004,2,2,2,5,1,1,Urban,No,Yes,Average,26.9,705579
H01085,2902,1,2,2,14,2,2,Suburban,No,Yes,Good,11.1,661859
H01086,4852,3,3,2,5,1,3,Suburban,No,No,Average,8.7,1033207
H01087,1795,5,3,3,10,2,0,Rural,Yes,Yes,Excellent,10.4,513917
H01088,1043,4,1,1,27,1,3,Rural,Yes,No,Excellent,25.9,277596
H01089,3303,4,5,1,25,1,0,Suburban,No,No,Needs Renovation,4.8,717141
H01090,1949,4,3,3,1,1,3,Urban,No,No,Excellent,29.7,595013
H01091,4899,2,3,3,14,1,0,Suburban,Yes,Yes,Excellent,10.4,1101283
H01092,712,1,3,2,16,1,0,Rural,No,Yes,Good,29.1,206310
H01093,1472,6,3,1,10,0,0,Rural,No,No,Average,15.2,355016
H01094,4457,4,4,3,35,1,4,Suburban,Yes,No,Good,15.1,979955
H01095,4638,5,4,1,13,3,2,Suburban,Yes,Yes,Good,5.8,1121014
H01096,1161,4,3,2,34,3,3,Suburban,Yes,Yes,Average,8.6,424451
H01097,3071,1,4,3,14,1,0,Suburban,Yes,No,Good,21.5,691382
H01098,1766,2,5,2,32,2,2,Rural,No,No,Needs Renovation,18.5,337743
H01099,3999,6,2,1,35,0,2,Suburban,Yes,Yes,Excellent,20.3,939634
H01100,2733,1,1,3,13,3,0,Suburban,Yes,Yes,Good,16.8,671444
H01101,1244,2,1,3,33,0,1,Suburban,Yes,No,Average,15.7,316564
H01102,2252,6,4,3,20,0,4,Rural,Yes,Yes,Needs Renovation,1.8,545685
H01103,4820,2,5,2,26,3,2,Rural,Yes,No,Good,28.2,991288
H01104,4081,4,3,2,0,1,0,Rural,Yes,Yes,Needs Renovation,22.8,834140
H01105,1498,2,1,2,20,0,1,Urban,Yes,Yes,Needs Renovation,22.1,408792
H01106,1863,1,5,1,19,1,2,Suburban,Yes,No,Needs Renovation,8.7,461498
H01107,4204,3,1,1,1,1,3,Urban,Yes,Yes,Needs Renovation,15.3,984990
H01108,3980,5,3,2,40,3,2,Suburban,No,No,Excellent,7.1,898286
H01109,4564,5,5,3,2,0,2,Urban,No,No,Average,16.2,1084190
H01110,1114,3,5,2,37,3,3,Rural,Yes,No,Excellent,12.2,363117
H01111,3557,1,1,3,22,0,1,Rural,Yes,Yes,Needs Renovation,19.0,679282
H01112,4029,6,3,2,15,0,1,Rural,No,No,Average,9.6,855235
H01113,2011,1,2,1,14,3,2,Suburban,Yes,No,Good,24.1,528005
H01114,4878,6,4,2,24,1,2,Urban,Yes,No,Good,6.3,1182527
H01115,4705,4,1,2,38,0,0,Rural,Yes,Yes,Excellent,1.1,994275
H01116,1603,6,1,1,24,3,3,Urban,Yes,Yes,Needs Renovation,10.8,527157
H01117,3914,1,3,1,20,2,3,Urban,No,Yes,Excellent,19.4,933169
H01118,4933,4,5,1,18,1,2,Rural,No,No,Good,8.8,1025231
H01119,1448,3,3,2,14,0,0,Rural,No,Yes,Good,27.8,332917
H01120,3787,3,2,3,25,2,3,Suburban,No,Yes,Average,25.4,794082
H01121,2774,3,4,1,7,3,1,Rural,No,No,Good,23.3,621021
H01122,1695,3,2,1,32,0,0,Urban,Yes,Yes,Needs Renovation,11.7,468785
H01123,653,5,4,2,24,0,3,Rural,No,No,Excellent,15.1,265745
H01124,4450,3,5,2,33,2,1,Urban,Yes,Yes,Average,26.1,1028403
H01125,3728,3,3,1,13,0,3,Suburban,No,No,Good,22.3,828782
H01126,2024,6,5,2,7,1,0,Suburban,Yes,Yes,Needs Renovation,27.5,554156
H01127,4232,4,2,3,29,1,2,Rural,No,Yes,Excellent,6.4,882114
H01128,4376,1,5,2,4,0,2,Rural,No,No,Excellent,1.3,935007
H01129,3148,4,3,1,32,3,1,Rural,Yes,Yes,Average,27.9,663674
H01130,4063,6,5,2,18,2,3,Suburban,No,Yes,Excellent,2.1,1022037
H01131,947,3,4,3,23,3,4,Rural,No,No,Needs Renovation,7.3,254181
H01132,1297,1,2,2,31,2,0,Rural,No,No,Good,8.1,306362
H01133,883,6,5,1,33,1,0,Suburban,Yes,No,Good,14.7,377099
H01134,1651,2,3,3,36,3,1,Suburban,No,Yes,Average,19.4,424808
H01135,4061,3,2,3,34,0,0,Rural,No,Yes,Needs Renovation,26.8,716839
H01136,4348,1,2,1,17,0,0,Suburban,No,No,Needs Renovation,16.9,851418
H01137,4004,1,1,2,21,3,1,Rural,Yes,No,Good,6.2,820064
H01138,4505,6,1,3,33,2,3,Rural,Yes,No,Average,25.1,888824
H01139,1666,1,4,2,24,1,2,Urban,Yes,Yes,Good,3.6,547511
H01140,3181,3,4,1,9,2,3,Rural,Yes,No,Good,5.1,759204
H01141,685,5,3,3,9,0,2,Rural,Yes,Yes,Average,12.8,269579
H01142,3109,2,5,1,39,3,3,Rural,Yes,No,Average,12.7,672170
H01143,1521,4,5,3,39,1,2,Urban,No,No,Average,22.8,478343
H01144,1309,4,2,1,5,1,0,Rural,Yes,Yes,Good,28.5,354964
H01145,3767,3,3,3,13,2,2,Suburban,Yes,Yes,Needs Renovation,18.0,846056
H01146,901,4,2,1,34,3,0,Urban,Yes,No,Excellent,13.2,409366
H01147,3979,6,3,1,22,2,3,Suburban,Yes,No,Excellent,12.4,981094
H01148,603,3,2,1,36,2,4,Urban,No,Yes,Good,28.8,288652
H01149,1559,4,5,3,22,0,2,Urban,Yes,Yes,Average,19.0,537332
H01150,2442,4,5,2,34,1,2,Urban,No,Yes,Good,13.7,699488
H01151,4965,2,3,2,30,0,0,Urban,No,Yes,Excellent,24.3,1081861
H01152,3120,6,3,2,3,2,4,Suburban,Yes,No,Average,28.0,771621
H01153,2077,3,3,2,38,0,2,Suburban,No,Yes,Needs Renovation,1.6,492430
H01154,807,3,5,2,3,3,4,Urban,No,Yes,Good,5.5,446077
H01155,3548,3,5,3,4,3,0,Urban,No,No,Average,28.6,860673
H01156,3248,3,3,2,4,1,2,Suburban,Yes,No,Good,9.0,788444
H01157,4046,3,3,1,3,1,3,Suburban,Yes,No,Excellent,2.4,977007
H01158,4902,1,4,3,31,3,4,Rural,No,Yes,Excellent,2.2,1022830
H01159,3177,5,3,2,5,3,0,Urban,No,No,Needs Renovation,11.1,781999
H01160,1406,6,4,2,3,2,2,Suburban,No,No,Good,4.8,495991
H01161,3678,3,1,3,36,2,1,Suburban,No,No,Good,26.5,752175
H01162,1034,5,3,2,38,0,1,Rural,Yes,Yes,Needs Renovation,27.1,247269
H01163,4789,5,2,2,36,1,4,Rural,Yes,Yes,Average,18.4,985592
H01164,2138,6,2,2,15,2,2,Suburban,No,Yes,Needs Renovation,6.3,552877
H01165,2240,3,5,3,3,2,0,Suburban,Yes,No,Needs Renovation,6.6,584764
H01166,2830,1,2,3,2,2,3,Rural,No,No,Average,17.5,582170
H01167,1305,3,3,3,5,1,4,Rural,Yes,No,Good,16.7,390161
H01168,4660,5,3,1,35,3,3,Urban,No,No,Needs Renovation,22.9,990096
H01169,4895,3,1,1,37,3,2,Suburban,No,No,Average,1.9,1002799
H01170,4161,5,1,3,0,3,3,Rural,No,Yes,Excellent,23.2,922290
H01171,2323,3,1,3,30,3,2,Urban,No,No,Average,5.2,612638
H01172,4052,5,5,3,29,3,1,Suburban,No,Yes,Needs Renovation,6.6,906263
H01173,1030,5,1,3,36,0,3,Suburban,No,No,Good,27.8,318958
H01174,4294,5,2,1,19,0,0,Urban,Yes,No,Excellent,16.2,1019798
H01175,3782,6,2,1,35,2,4,Suburban,Yes,No,Average,20.2,868701
